,title,artist,top genre,year,country,val,dur
304,Cheirosa - Ao Vivo,Jorge & Mateus,sertanejo,2019,brazil,71,182
882,Chiasso,Random,italian hip hop,2019,italy,46,182
103,China,Anuel AA,latin,2019,argentina,61,302
255,China,Anuel AA,latin,2019,bolivia,61,302
453,China,Anuel AA,latin,2019,colombia,61,302
505,China,Anuel AA,latin,2019,chile,61,302
557,China,Anuel AA,latin,2019,spain,61,302
46,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,world,36,166
83,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,africa,36,166
243,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,belgium,36,166
391,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,canada,36,166
640,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,usa,36,166
28,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,world,70,153
70,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,africa,70,153
226,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,belgium,70,153
369,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,canada,70,153
622,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,usa,70,153
33,Christmas Lights,Coldplay,permanent wave,2010,world,24,242
173,Christmas Lights,Coldplay,permanent wave,2010,australia,24,242
230,Christmas Lights,Coldplay,permanent wave,2010,belgium,24,242
376,Christmas Lights,Coldplay,permanent wave,2010,canada,24,242
417,Christmas Lights,Coldplay,permanent wave,2010,germany,24,242
440,Christmas Time,Bryan Adams,album rock,2019,germany,32,243
648,Christmas Time Is Here - Vocal,Vince Guaraldi Trio,adult standards,1965,usa,9,166
899,Cin Cin,Alfa,italian arena pop,2019,italy,37,180
794,Cinta Luar Biasa,Andmesh,indonesian pop,2019,indonesia,32,256
997,Cinta Luar Biasa,Andmesh,indonesian pop,2019,malasya,32,256
3,Circles,Post Malone,dfw rap,2019,world,55,215
51,Circles,Post Malone,dfw rap,2019,africa,55,215
152,Circles,Post Malone,dfw rap,2019,australia,55,215
203,Circles,Post Malone,dfw rap,2019,belgium,55,215
601,Circles,Post Malone,dfw rap,2019,usa,55,215
702,Circles,Post Malone,dfw rap,2019,india,55,215
803,Circles,Post Malone,dfw rap,2019,israel,55,215
953,Circles,Post Malone,dfw rap,2019,malasya,55,215
335,Com ou Sem Mim (Ao Vivo em Fortaleza),Gustavo Mioto,sertanejo,2019,brazil,30,202
301,Combatchy (feat. MC Rebecca),Anitta,baile pop,2019,brazil,61,158
690,Compliqué,Dadju,francoton,2019,france,93,215
121,Con Altura,ROSALÍA,r&b en espanol,2019,argentina,75,162
275,Con Altura,ROSALÍA,r&b en espanol,2019,bolivia,75,162
470,Con Altura,ROSALÍA,r&b en espanol,2019,colombia,75,162
571,Con Altura,ROSALÍA,r&b en espanol,2019,spain,75,162
123,Con Calma,Daddy Yankee,latin,2019,argentina,66,193
587,Contando Lunares (feat. Cruz Cafuné),Don Patricio,trap espanol,2019,spain,71,220
315,Contatinho - Ao Vivo Em São Paulo / 2019,Leo Santana,axe,2019,brazil,81,173
539,Coronao Now,El Alfa,dembow,2019,chile,72,218
526,Cuerpo en Venta,Noriel,latin,2019,chile,41,254
140,Cómo estás,Ke Personajes,cumbia pop,2019,argentina,98,227
696,Côte Ouest,47ter,french hip hop,2019,france,58,233
119,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,argentina,83,259
274,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,bolivia,83,259
520,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,chile,83,259
568,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,spain,83,259
788,Dan...,Sheila On 7,indonesian pop,1999,indonesia,54,289
740,Dance Like,Harrdy Sandhu,desi pop,2019,india,54,172
0,Dance Monkey,Tones and I,australian pop,2019,world,51,209
50,Dance Monkey,Tones and I,australian pop,2019,africa,51,209
100,Dance Monkey,Tones and I,australian pop,2019,argentina,51,209
150,Dance Monkey,Tones and I,australian pop,2019,australia,51,209
200,Dance Monkey,Tones and I,australian pop,2019,belgium,51,209
250,Dance Monkey,Tones and I,australian pop,2019,bolivia,51,209
300,Dance Monkey,Tones and I,australian pop,2019,brazil,51,209
350,Dance Monkey,Tones and I,australian pop,2019,canada,51,209
400,Dance Monkey,Tones and I,australian pop,2019,germany,51,209
450,Dance Monkey,Tones and I,australian pop,2019,colombia,51,209
500,Dance Monkey,Tones and I,australian pop,2019,chile,51,209
550,Dance Monkey,Tones and I,australian pop,2019,spain,51,209
650,Dance Monkey,Tones and I,australian pop,2019,france,51,209
750,Dance Monkey,Tones and I,australian pop,2019,indonesia,51,209
800,Dance Monkey,Tones and I,australian pop,2019,israel,51,209
850,Dance Monkey,Tones and I,australian pop,2019,italy,51,209
950,Dance Monkey,Tones and I,australian pop,2019,malasya,51,209
495,Daniela,Rodolfo Aicardi,classic colombian pop,2012,colombia,93,198
680,Dans l'univers,Nekfeu,french hip hop,2019,france,20,244
426,Der Bratan bleibt der gleiche,Capital Bra,german hip hop,2019,germany,67,192
295,Desconocidos,Mau y Ricky,latin,2019,bolivia,68,205
297,Detente,Mike Bahía,colombian pop,2019,bolivia,36,182
726,"Dheeme Dheeme (From ""Pati Patni Aur Woh"")",Tony Kakkar,desi pop,2019,india,69,177
687,Distant,Maes,french hip hop,2019,france,49,162
29,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,world,35,223
72,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,africa,35,223
170,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,australia,35,223
228,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,belgium,35,223
370,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,canada,35,223
416,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,germany,35,223
623,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,usa,35,223
387,Do You Hear What I Hear? - Remastered 2006,Bing Crosby,adult standards,2006,canada,41,166
634,Do You Hear What I Hear? - Remastered 2006,Bing Crosby,adult standards,2006,usa,41,166
430,Doch in der Nacht,Apache 207,german hip hop,2019,germany,71,192
342,Dois Lados,Wesley Safadão,forro,2019,brazil,93,147
736,"Don't Be Shy Again (From ""Bala"")",Sachin-Jigar,desi pop,2019,india,91,164
8,Don't Start Now,Dua Lipa,dance pop,2019,world,68,183
155,Don't Start Now,Dua Lipa,dance pop,2019,australia,68,183
206,Don't Start Now,Dua Lipa,dance pop,2019,belgium,68,183
655,Don't Start Now,Dua Lipa,dance pop,2019,france,68,183
806,Don't Start Now,Dua Lipa,dance pop,2019,israel,68,183
957,Don't Start Now,Dua Lipa,dance pop,2019,malasya,68,183
44,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,world,87,242
181,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,australia,87,242
240,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,belgium,87,242
389,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,canada,87,242
424,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,germany,87,242
480,Dulce Pecado,Jessi Uribe,colombian pop,2019,colombia,77,175
719,"Duniyaa (From ""Luka Chuppi"")",Akhil,desi pop,2019,india,52,223
585,Easy - Remix,Jhay Cortez,latin,2019,spain,44,220
735,"Ek Toh Kum Zindagani (From ""Marjaavaan"")",Neha Kakkar,desi pop,2019,india,72,190
148,El Bombón,Los Palmeras,argentine rock,2016,argentina,87,204
128,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dimelo Flow,latin,2019,argentina,48,233
524,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dimelo Flow,latin,2019,chile,48,233
486,El Hijo Ausente,Pastor Lopez,cumbia,2012,colombia,85,173
497,El Jornalero (El Hijo de Tuta),Lisandro Meza,cumbia,2001,colombia,96,244
327,Ela Vem,MC G15,brega funk,2019,brazil,59,197
689,Elle est bonne sa mère,Vegedream,francoton,2019,france,47,197
481,En Barranquilla Me Quedo,Joe Arroyo,cumbia,2009,colombia,75,312
