,title,artist,top genre,year,country,val
729,Chal Bombay,DIVINE,desi hip hop,2019,india,51
312,Chama Ela (feat. Pedro Sampaio),Lexa,baile pop,2019,brazil,96
739,Chandigarh Mein,Badshah,desi hip hop,2019,india,34
304,Cheirosa - Ao Vivo,Jorge & Mateus,sertanejo,2019,brazil,71
882,Chiasso,Random,italian hip hop,2019,italy,46
103,China,Anuel AA,latin,2019,argentina,61
255,China,Anuel AA,latin,2019,bolivia,61
453,China,Anuel AA,latin,2019,colombia,61
505,China,Anuel AA,latin,2019,chile,61
557,China,Anuel AA,latin,2019,spain,61
46,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,world,36
83,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,africa,36
243,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,belgium,36
391,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,canada,36
640,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,usa,36
28,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,world,70
70,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,africa,70
226,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,belgium,70
369,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,canada,70
622,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,usa,70
33,Christmas Lights,Coldplay,permanent wave,2010,world,24
173,Christmas Lights,Coldplay,permanent wave,2010,australia,24
230,Christmas Lights,Coldplay,permanent wave,2010,belgium,24
376,Christmas Lights,Coldplay,permanent wave,2010,canada,24
417,Christmas Lights,Coldplay,permanent wave,2010,germany,24
440,Christmas Time,Bryan Adams,album rock,2019,germany,32
648,Christmas Time Is Here - Vocal,Vince Guaraldi Trio,adult standards,1965,usa,9
899,Cin Cin,Alfa,italian arena pop,2019,italy,37
794,Cinta Luar Biasa,Andmesh,indonesian pop,2019,indonesia,32
997,Cinta Luar Biasa,Andmesh,indonesian pop,2019,malasya,32
3,Circles,Post Malone,dfw rap,2019,world,55
51,Circles,Post Malone,dfw rap,2019,africa,55
152,Circles,Post Malone,dfw rap,2019,australia,55
203,Circles,Post Malone,dfw rap,2019,belgium,55
601,Circles,Post Malone,dfw rap,2019,usa,55
702,Circles,Post Malone,dfw rap,2019,india,55
803,Circles,Post Malone,dfw rap,2019,israel,55
953,Circles,Post Malone,dfw rap,2019,malasya,55
335,Com ou Sem Mim (Ao Vivo em Fortaleza),Gustavo Mioto,sertanejo,2019,brazil,30
301,Combatchy (feat. MC Rebecca),Anitta,baile pop,2019,brazil,61
690,Compliqué,Dadju,francoton,2019,france,93
121,Con Altura,ROSALÍA,r&b en espanol,2019,argentina,75
275,Con Altura,ROSALÍA,r&b en espanol,2019,bolivia,75
470,Con Altura,ROSALÍA,r&b en espanol,2019,colombia,75
571,Con Altura,ROSALÍA,r&b en espanol,2019,spain,75
123,Con Calma,Daddy Yankee,latin,2019,argentina,66
587,Contando Lunares (feat. Cruz Cafuné),Don Patricio,trap espanol,2019,spain,71
315,Contatinho - Ao Vivo Em São Paulo / 2019,Leo Santana,axe,2019,brazil,81
539,Coronao Now,El Alfa,dembow,2019,chile,72
526,Cuerpo en Venta,Noriel,latin,2019,chile,41
140,Cómo estás,Ke Personajes,cumbia pop,2019,argentina,98
696,Côte Ouest,47ter,french hip hop,2019,france,58
119,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,argentina,83
274,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,bolivia,83
520,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,chile,83
568,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,spain,83
788,Dan...,Sheila On 7,indonesian pop,1999,indonesia,54
740,Dance Like,Harrdy Sandhu,desi pop,2019,india,54
0,Dance Monkey,Tones and I,australian pop,2019,world,51
50,Dance Monkey,Tones and I,australian pop,2019,africa,51
100,Dance Monkey,Tones and I,australian pop,2019,argentina,51
150,Dance Monkey,Tones and I,australian pop,2019,australia,51
200,Dance Monkey,Tones and I,australian pop,2019,belgium,51
250,Dance Monkey,Tones and I,australian pop,2019,bolivia,51
300,Dance Monkey,Tones and I,australian pop,2019,brazil,51
350,Dance Monkey,Tones and I,australian pop,2019,canada,51
400,Dance Monkey,Tones and I,australian pop,2019,germany,51
450,Dance Monkey,Tones and I,australian pop,2019,colombia,51
500,Dance Monkey,Tones and I,australian pop,2019,chile,51
550,Dance Monkey,Tones and I,australian pop,2019,spain,51
650,Dance Monkey,Tones and I,australian pop,2019,france,51
750,Dance Monkey,Tones and I,australian pop,2019,indonesia,51
800,Dance Monkey,Tones and I,australian pop,2019,israel,51
850,Dance Monkey,Tones and I,australian pop,2019,italy,51
950,Dance Monkey,Tones and I,australian pop,2019,malasya,51
495,Daniela,Rodolfo Aicardi,classic colombian pop,2012,colombia,93
680,Dans l'univers,Nekfeu,french hip hop,2019,france,20
426,Der Bratan bleibt der gleiche,Capital Bra,german hip hop,2019,germany,67
295,Desconocidos,Mau y Ricky,latin,2019,bolivia,68
297,Detente,Mike Bahía,colombian pop,2019,bolivia,36
726,"Dheeme Dheeme (From ""Pati Patni Aur Woh"")",Tony Kakkar,desi pop,2019,india,69
687,Distant,Maes,french hip hop,2019,france,49
