,Unnamed: 0,title,artist,top genre,year,country,val,dur,albums
28,485,Adonay,Rodolfo Aicardi,classic colombian pop,2014,colombia,97,187,"Música Tropical de Colombia, Vol. 10"
29,175,Adore You,Harry Styles,dance pop,2019,australia,57,207,Fine Line
30,983,Adore You,Harry Styles,dance pop,2019,malasya,57,207,Fine Line
31,782,Adu Rayu,Yovie Widianto,indonesian pop,2019,indonesia,22,208,Adu Rayu
32,97,Akulaleki,Samthing Soweto,afro house,2019,africa,34,382,Akulaleki (Radio Edit)
33,330,Algo Mais (Amante) - Ao Vivo,Xand Avião,funk carioca,2019,brazil,67,232,Errejota (ao Vivo)
34,479,Alguien Me Gusta,Andy Rivera,latin,2019,colombia,81,169,Alguien Me Gusta
35,548,Algún Día Volveras,Santaferia,cumbia chilena,2018,chile,69,254,Algún Día Volveras
36,432,Alien,RIN,german cloud rap,2019,germany,85,209,Nimmerland
37,4,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,world,35,241,Merry Christmas
38,54,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,africa,35,241,Merry Christmas
39,154,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,australia,35,241,Merry Christmas
40,204,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,belgium,35,241,Merry Christmas
41,251,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,bolivia,35,241,Merry Christmas
42,352,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,canada,35,241,Merry Christmas
43,402,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,germany,35,241,Merry Christmas
44,501,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,chile,35,241,Merry Christmas
45,552,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,spain,35,241,Merry Christmas
46,602,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,usa,35,241,Merry Christmas
47,653,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,france,35,241,Merry Christmas
48,853,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,italy,35,241,Merry Christmas
49,900,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,japan,35,241,Merry Christmas
50,954,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,malasya,35,241,Merry Christmas
52,291,Amor a Primera Vista,Los Angeles Azules,grupera,2019,bolivia,95,221,Amor a Primera Vista
53,787,April,Fiersa Besari,indonesian indie,2014,indonesia,57,264,Tempat Aku Pulang
54,683,Aristocrate,Heuss L'enfoiré,french hip hop,2019,france,63,170,En esprit
55,289,Atrévete,Nicky Jam,latin,2019,bolivia,59,198,Intimo
56,688,Avant toi,Vitaa,francoton,2019,france,25,224,VersuS
57,114,Aventura,Lunay,latin,2019,argentina,88,217,Épico
58,267,Aventura,Lunay,latin,2019,bolivia,88,217,Épico
59,465,Aventura,Lunay,latin,2019,colombia,88,217,Épico
60,513,Aventura,Lunay,latin,2019,chile,88,217,Épico
61,563,Aventura,Lunay,latin,2019,spain,88,217,Épico
